,0
lag_1h,2.5335192251370677
rolling_max_6h,2.361783806837677
rolling_mean_6h,1.8814900573662348
rolling_max_12h,1.8491611159760604
lag_3h,1.5952595993141054
rolling_max_24h,1.5154778149553496
rolling_mean_12h,1.3302283919383577
lag_6h,1.1371015465989323
rolling_std_72h,1.0511347210681716
rolling_max_72h,0.9865652266022211
rolling_mean_72h,0.9748100676800897
rolling_mean_24h,0.9195121993127993
lag_12h,0.7584315506897847
lag_24h,0.7528106422100653
target_24h,0.7464562508778148
rolling_std_24h,0.6342205618633461
pm10,0.3958342198664204
pm25,0.34443006385165864
rolling_std_12h,0.3353663667797737
day_of_week,0.297003039718295
day_sin,0.293389466502914
rolling_std_6h,0.24941410011771525
aqi_pm10_ratio,0.2070810733316586
aqi_pm25_ratio,0.14961029519517544
month,0.11619190922609235
day_cos,0.08880099117245033
hour_cos,0.0
hour,0.0
hour_sin,0.0
