,aqi,pm25,pm10,hour,day_of_week,month,hour_sin,hour_cos,day_sin,day_cos,aqi_pm25_ratio,aqi_pm10_ratio,lag_1h,lag_3h,lag_6h,lag_12h,lag_24h,rolling_mean_6h,rolling_std_6h,rolling_max_6h,rolling_mean_12h,rolling_std_12h,rolling_max_12h,rolling_mean_24h,rolling_std_24h,rolling_max_24h,rolling_mean_72h,rolling_std_72h,rolling_max_72h,target_24h
aqi_pm25_ratio,0.0020230536205504,-0.753542915154069,-0.6138246992305508,0.060117982799252734,0.028487426685135854,0.03945137671706656,-0.19940939177205744,-0.24142923551986212,0.09691999949225558,-0.08282467428343812,1.0,0.8355556934961217,0.03222370701570773,0.08661964582403164,0.13620420772017727,0.13515652808835393,0.043765586176338515,0.06953934839573589,-0.10355277049481004,0.05139064113639724,0.10942033139699751,-0.03424535470338796,0.07359431452845604,0.10576545776624459,0.022488987736110792,0.05264934709049146,0.07537881673309398,-0.12595212065517036,0.004835083758608771,-0.3490203563048875
aqi_pm10_ratio,0.029114869508723135,-0.622813626155473,-0.772012111583812,0.021354415486926064,0.03388430278799522,0.2432688972550799,-0.13229628208492214,-0.14629968565338483,0.08603792291578492,-0.11723289726582449,0.8355556934961217,1.0,0.05205790846556842,0.09228136436687678,0.12154430598509362,0.09240964531152647,-0.0049875392338005736,0.07887353436192605,-0.09056163988235708,0.0635233124043237,0.09979692373146265,-0.05356095164927252,0.06627261411841893,0.0731559297354126,0.007887646997689136,0.03453022448356626,0.024296350469590056,-0.09653757538288091,-0.014657696374492267,-0.27177655511997906
lag_1h,0.9963391493817071,0.47715840004660104,0.412550551948757,0.002136110385103002,-0.1137165936841195,0.029785884576168986,-9.524131495544617e-05,0.004374915334358656,0.025766373029154483,0.21514592455406456,0.03222370701570773,0.05205790846556842,1.0,0.9880626283322815,0.9458768567014517,0.7970517152765131,0.4655545165391454,0.9940525935800563,-0.012203541437247337,0.9878028405027752,0.9611126497643049,0.03678479435437271,0.9432925073004927,0.8506781518504672,0.10649648681709165,0.8309617968786557,0.5935471154577155,0.3399282552570379,0.6636811795244761,0.420626137313903
lag_3h,0.9768281026795417,0.412262131284396,0.3636707167778818,0.005369789622000298,-0.10844005850432166,0.03273121425137274,0.0020641215522861794,0.0035285257178054343,0.03933833105263906,0.20739976306188376,0.08661964582403164,0.09228136436687678,0.9880626283322815,1.0,0.976844984877291,0.8533098863483691,0.5107511699520211,0.9982861944204788,-0.03339561489720976,0.9890323448697003,0.9855453428539888,0.022237880210564186,0.9598156388528819,0.8941913779770277,0.09369278277398822,0.852833992467472,0.6245122346068954,0.32385678161359266,0.6772485124472288,0.38772431405918084
lag_6h,0.9259687464928279,0.3348000845045952,0.30877650318263317,-0.009757304283296152,-0.10150234881036328,0.036299586479642855,0.0038211972807862937,0.0004905405229419879,0.05707731446399866,0.197301475487404,0.13620420772017727,0.12154430598509362,0.9458768567014517,0.976844984877291,1.0,0.9261549279800978,0.5902243562479534,0.9731594752993787,-0.06272583541749097,0.961747454904595,0.9962738083938764,0.00010244103012254122,0.9631526820475589,0.9457400340399605,0.07312473358538271,0.8741642042470037,0.668114126665865,0.30108167670542635,0.6929613959684217,0.35278212604410325
lag_12h,0.767530744930368,0.2553884178124827,0.253222472448633,0.004086793331688788,-0.0964768742515365,0.03897244317060188,-0.0005280478264465804,-0.0053431180761343575,0.09240479413844652,0.16328203565723906,0.13515652808835393,0.09240964531152647,0.7970517152765131,0.8533098863483691,0.9261549279800978,1.0,0.7684547380070672,0.8440411343794162,-0.07942158926581173,0.832965953189118,0.9243487148562541,-0.035538476965096655,0.8939860358143203,0.9848125133456371,0.03318930339284123,0.8796129239597773,0.740206143141865,0.26211978633384647,0.7090589427917658,0.3142838512714019
lag_24h,0.4453915716407488,0.20734294764310263,0.1953164313647302,0.00016974547749960809,-0.09575302151080303,0.018646462480610762,-0.0008081484430743977,0.006448749761838048,0.14612457903933648,0.07914037443809678,0.043765586176338515,-0.0049875392338005736,0.4655545165391454,0.5107511699520211,0.5902243562479534,0.7684547380070672,1.0,0.5050063764745581,-0.027497122245303224,0.504278208615527,0.5970742658059672,-0.028935557309309416,0.5934749776337563,0.8023204356118199,-0.031000323423519473,0.7469367534591435,0.8142629713679647,0.20125726086132031,0.6941075858885942,0.2682665408455695
rolling_mean_6h,0.9855761835518141,0.4341432591926911,0.3811695604428268,0.0022680164388952143,-0.11063034873086547,0.032052187789461346,0.0013214829314090303,0.0034051345867133066,0.035751545811747255,0.2109384712400337,0.06953934839573589,0.07887353436192605,0.9940525935800563,0.9982861944204788,0.9731594752993787,0.8440411343794162,0.5050063764745581,1.0,-0.028632012063484015,0.9918314924863773,0.9830208195212095,0.025771280803640956,0.9596016050552154,0.8880388972070763,0.09738210590202642,0.852010743136071,0.621024271325904,0.330550235644375,0.6782803626871488,0.4010523360625804
rolling_std_6h,-0.006177410211450304,0.16769986620875538,0.06925416358735421,-0.13424733109244139,-0.11361053616320498,0.06206508016588684,0.17426064537979044,0.11501482414785186,0.10499773008601215,0.025273964403651743,-0.10355277049481004,-0.09056163988235708,-0.012203541437247337,-0.03339561489720976,-0.06272583541749097,-0.07942158926581173,-0.027497122245303224,-0.028632012063484015,1.0,0.09611698048950611,-0.052346537014782195,0.8065424414558855,0.14620699688573388,-0.060114821971593936,0.38131168463530907,0.1339417085561496,0.0855757845433695,0.16070112077147986,0.17720818862238835,0.1004806757441925
rolling_max_6h,0.9810050979978086,0.4593687572800761,0.39300221759258136,-0.011699985136829702,-0.12534226866935827,0.0414569917152495,0.01940059450449815,0.01810295984643857,0.04852383872980374,0.21363385523920306,0.05139064113639724,0.0635233124043237,0.9878028405027752,0.9890323448697003,0.961747454904595,0.832965953189118,0.504278208615527,0.9918314924863773,0.09611698048950611,1.0,0.9727692952537221,0.12440013552449505,0.9747410151821807,0.8790244438045947,0.14322061623908058,0.8668942085099859,0.6315234603278803,0.3499844814894045,0.6992878987432418,0.4158586769920354
