,count,mean,std,min,25%,50%,75%,max
rolling_trend_24h,1080.0,0.012825281803540449,1.2834965762444488,-3.1234782608695717,-0.7259782608695681,0.017391304347824883,0.7623913043478227,4.411739130434781
diff_1h,1080.0,-0.009259259259259259,2.313258598847354,-15.0,-1.0,0.0,1.0,15.0
diff_3h,1080.0,-0.023148148148148147,5.755315172132663,-23.0,-3.0,0.0,3.0,29.0
diff_24h,1080.0,0.49537037037037035,27.407574513879847,-69.0,-15.0,0.0,16.0,83.0
diff_week,1080.0,5.160185185185185,43.411615790106666,-81.0,-27.0,-2.0,36.0,78.0
roc_1h,1080.0,0.00014572718443068967,0.023827727021215037,-0.1875,-0.010309278350515427,0.0,0.008948680823680777,0.21126760563380276
roc_24h,1080.0,0.03131461092362591,0.28244093915439267,-0.49640287769784175,-0.12868663594470045,0.0,0.1339302861532552,1.2028985507246377
weekly_seasonal,1080.0,114.00280704125453,14.14456258802697,74.0,104.04910714285714,117.10645979703357,124.41876257545272,136.9404761904762
daily_seasonal,1080.0,112.15698427721101,23.737903617979875,66.29166666666667,91.86458333333333,112.95833333333333,129.75,152.66666666666666
hourly_seasonal,1080.0,110.31380208333333,0.7689298053369428,109.60416666666667,109.88541666666666,110.13541666666666,110.40104166666666,112.96875
target_24h,1080.0,112.18101851851851,25.6725902755197,63.0,92.0,112.0,134.0,154.0
target_72h,1080.0,109.66712962962963,25.659026076337085,63.0,90.0,108.0,130.0,154.0
aqi_hour_interaction,1080.0,53.73368055555556,35.423778278099384,0.0,24.375,50.520833333333336,78.75,146.625
