,aqi,pm10,hour,day_of_week,day_of_month,month,hour_sin,hour_cos,day_sin,day_cos,is_night,is_morning,is_afternoon,is_evening,is_weekend,lag_1h,lag_2h,lag_3h,lag_6h,lag_12h,lag_24h,lag_48h,lag_72h,lag_96h,lag_120h,lag_144h,lag_168h,lag_same_hour_yesterday,lag_same_hour_last_week,rolling_mean_3h,rolling_std_3h,rolling_min_3h,rolling_max_3h,rolling_mean_6h,rolling_std_6h,rolling_min_6h,rolling_max_6h,rolling_mean_12h,rolling_std_12h,rolling_min_12h,rolling_max_12h,rolling_mean_24h,rolling_std_24h,rolling_min_24h,rolling_max_24h,rolling_mean_72h,rolling_std_72h,rolling_min_72h,rolling_max_72h,rolling_mean_168h,rolling_std_168h,rolling_min_168h,rolling_max_168h,rolling_trend_24h,diff_1h,diff_3h,diff_24h,diff_week,roc_1h,roc_24h,weekly_seasonal,daily_seasonal,hourly_seasonal,target_24h,target_72h,aqi_hour_interaction
is_night,0.0018491936879931662,-0.048272855977194336,-0.7506518906054701,-9.244999559812454e-19,-1.1480551714415486e-16,-6.040714869099868e-16,0.44878422347333874,0.5848669869612935,1.0641576880907165e-17,-5.1347573123817656e-17,1.0,-0.33333333333333287,-0.3333333333333324,-0.333333333333333,-2.946281328660031e-17,0.0003118499928711518,-0.00099859132589493,-0.0023521164549255564,0.0114764798637936,-0.009388740917461327,2.0819010565235097e-05,0.0029749250940333694,-0.00012601457982996584,-0.0021826487224680348,-0.0015857794311003382,6.002385566372601e-05,-0.0016564913556622843,2.0819010565235097e-05,-0.0016564913556622843,-0.0010148211451906912,0.08323042159283335,-0.006693119018190002,0.004272559434309167,0.0022728397733088163,0.10836440728614666,-0.01117462169250512,0.015231401708009717,0.0031891998970967413,-0.013419855448838515,0.007373869797477953,0.001686276926818464,-5.729597070682545e-05,-0.0964065055412511,0.027461675020451007,-0.011228230854935645,-8.069986322852477e-05,-0.015037462248804458,0.02592754047622378,-0.0104051197694547,-0.004108914081092896,-0.012026821084108186,0.027855801738370663,-0.020513172327648148,0.00592762839951026,0.01710898742431732,0.02016542571945541,0.004156480740390376,0.0090552023779632,0.007684329852651047,-0.006614137892107965,-0.004108914081092896,-5.729597070682545e-05,-0.04531960940320909,-0.0019895298269049753,0.00891071848969494,-0.6854537284848562
is_morning,-0.0023062977456997174,0.10433376466969466,-0.25021729686848965,-6.529280939117549e-18,1.9153958576058805e-17,-5.06623548677425e-17,0.5848669869612939,-0.44878422347333996,4.645132765475352e-18,-2.6091926408194006e-17,-0.33333333333333287,1.0,-0.3333333333333329,-0.3333333333333335,-1.2047016988298802e-17,-2.078999952478542e-05,0.0017475348203155312,0.002810050631990255,0.001746420848838218,0.01101251429121249,-0.0016447018346780109,0.00014562570390375376,0.0009661117786953519,-0.0035828384689567637,-0.00044727112159236173,-0.001300516872715166,-0.0019720135186455223,-0.0016447018346780109,-0.0019720135186455223,0.001515280888023942,-0.012311281523620663,0.001595573264398136,0.0008377567518253824,0.0020282605509700288,0.05986447368890344,-0.00959311098742036,0.008113528308995636,0.002337281162910641,0.14718688223245216,-0.03300178615413185,0.02708992933084364,0.0005150419688238603,-0.023636366160584427,0.011270915480706398,-0.0047850266512593645,0.0012468714633433135,0.0068643107568593835,0.0007617449323808434,0.0021031625065918605,0.00019511049582122,0.0023644773030662134,-0.019856906528863676,-0.0012532163158369834,0.008393034819845718,-0.025432278603714945,-0.023324985509600597,0.0006439618048492146,0.0015153603979448252,-0.040459974141372014,0.007853339415856054,0.00019511049582122,0.0005150419688238603,-0.14704420029384538,-0.0009895567201881725,-0.002595051349630558,-0.22956702504166435
is_afternoon,-0.010700390441760124,-0.1462868609470001,0.25021729686848987,-1.981896780634796e-17,5.888068747455113e-17,3.4362292866816653e-17,-0.4487842234733388,-0.5848669869612936,1.5540080524499358e-17,2.910253330144716e-17,-0.3333333333333324,-0.3333333333333329,1.0,-0.33333333333333365,-9.951883599029445e-18,-0.012245309720086616,-0.011234152416314381,-0.009928845566365736,-0.0024117240293480852,0.001269874048703053,-0.00938937376506049,-0.008591916530320922,-0.0072668407701867496,-0.006053761550996118,-0.006221134691239605,-0.007302902439093156,-0.006152682178174292,-0.00938937376506049,-0.006152682178174292,-0.011163032597094127,-0.17739067848172935,-0.00022793903777126547,-0.02228432959855567,-0.008174187009464932,-0.1343218490873686,0.006471708280016665,-0.026289526452907695,-0.0032326085923560046,-0.0031272949998360907,-0.00852138844031356,-0.01119074687797995,-7.700097543822963e-05,0.08105654536311685,-0.023257444642727602,0.0033637316063307218,0.0001488535993264061,0.011631990869231189,-0.02338839070162103,0.0049811743577173415,0.0017058434617414954,0.006062141853640873,-0.020418232508478216,0.010751276814812057,-0.011022946606852593,0.017108987424317348,-0.00399591385224233,0.00040979387581315506,-0.0032648008573609487,0.028578382467532602,0.010611693926338754,0.0017058434617414954,-7.700097543822963e-05,-0.3844015790386868,-0.007072726452713074,-0.014767822339062335,0.22371022589023687
is_evening,0.011157494499466278,0.09022595225449954,0.7506518906054686,-1.0631749493784328e-17,-2.8376234927494526e-18,9.868145643803756e-17,-0.5848669869612936,0.4487842234733392,2.3647948624238154e-17,2.8768021424419034e-17,-0.333333333333333,-0.3333333333333335,-0.33333333333333365,1.0,-3.797429268050709e-18,0.011954249726739832,0.010485208921893339,0.00947091138930059,-0.010811176683284166,-0.0028936474224546785,0.011013256589172833,0.00547136573238339,0.006426743571321017,0.011819248742420619,0.00825418524393208,0.008543395456144399,0.009781187052481977,0.011013256589172833,0.009781187052481977,0.010662572854260451,0.10647153841251651,0.00532548479156268,0.017174013412420693,0.0038730866851856816,-0.0339070318876821,0.014296024399908402,0.002944596435901862,-0.002293872467651813,-0.13063973178377722,0.03414930479696701,-0.017585459379682613,-0.00038074502267923885,0.038986326338718374,-0.01547514585843019,0.012649525899863753,-0.001315025199441716,-0.003458839377286248,-0.0033008947069839505,0.00332078290514495,0.0022079601235296064,0.0036002019274007668,0.012419337298971257,0.011015111828672562,-0.0032977166125033697,-0.008785696244919702,0.007155473642387459,-0.005210236421052737,-0.007305761918547234,0.004197261821188315,-0.011850895450086862,0.0022079601235296064,-0.00038074502267923885,0.5767653887357415,0.010051812999805834,0.008452155198997677,0.6913105276362838
is_weekend,-0.04831736522134606,-0.022964159314766974,4.27254469792145e-17,0.8013760423610307,-0.02563895527516664,-0.020016019225635787,-1.274983174590121e-17,1.603752420868077e-19,-0.7899524624504745,0.1644326407870726,-2.946281328660031e-17,-1.2047016988298802e-17,-9.951883599029445e-18,-3.797429268050709e-18,1.0,-0.04666930432295576,-0.04488630969415258,-0.04304915591157385,-0.035433113575833335,-0.030438796595356865,-0.042215505645599484,-0.17758683206392417,-0.16590870753789982,0.16139457705615573,0.2170101974185548,0.03412454026431807,-0.04301838899995372,-0.042215505645599484,-0.04301838899995372,-0.04497561259578386,-0.07092318516221761,-0.04009664915842,-0.04970402535136022,-0.041767590483133964,-0.10107824214018603,-0.028242532165879356,-0.05519073061618885,-0.03727450244473346,-0.1607662169675082,7.579302532317515e-05,-0.07245173463270797,-0.037329413859198995,-0.24124560944349263,0.04598805336200761,-0.12419971891377891,-0.15900168594644165,-0.14847995026863917,-0.08346904648677662,-0.24716193814001747,-0.08369399186319515,-0.08753246447658215,-0.08322874468982802,-0.11877770195892892,0.012949273028353903,-0.01865220391329931,-0.02264871255148587,0.02404515292689239,0.026836698346943574,-0.013561385317127781,-0.06251278349274886,-0.08369399186319515,-0.037329413859198995,-3.0038430028476172e-15,-0.015243754197974633,0.10309952689081579,-0.020609137543421228
lag_1h,0.9959597137792748,0.27381425277823296,0.002842902554450753,-0.09730258048199103,-0.2380364847832066,0.30135066696929413,-0.0014098150966648502,0.008201611875708401,0.07497981837782304,0.07400725616429056,0.0003118499928711518,-2.078999952478542e-05,-0.012245309720086616,0.011954249726739832,-0.04666930432295576,1.0,0.9959553132370703,0.9867805652200731,0.9446617437780069,0.7958298067147648,0.4648324861290125,0.2835663524818827,0.10904237144996964,0.03560672804404526,-0.08161796515527343,-0.08055038576439556,-0.08058665753272316,0.4648324861290125,-0.08058665753272316,0.9966106324488467,-0.08168681450043809,0.9942547057444594,0.9953336126152749,0.9849413306213475,-0.06449643427432139,0.9773211460309247,0.9800829309556501,0.9434023473923203,-0.028061425044441382,0.9188951263385626,0.9284326537958396,0.8259039944909636,0.02906382109692689,0.770368092758918,0.8103827402347337,0.6049404676065299,0.2758690328670449,0.3913236339841897,0.6437107666689293,0.44249161287823857,0.5290699003876624,-0.11641545958033675,0.5532940274859193,0.4948270860742668,-0.038245426169155515,0.04786145694599171,0.4742265281391282,0.6149428947536199,-0.041799824967163786,0.48893812022222194,0.44249161287823857,0.8259039944909636,0.015569739609147237,0.4232411450506269,0.2451171773740678,0.3504657109197595
lag_2h,0.9867950595784434,0.2498254345156036,0.004003042672996807,-0.09350058837501667,-0.2293466103791303,0.3015975319576293,0.0007614684738314239,0.00885316146434783,0.08157803798739291,0.07090951725704248,-0.00099859132589493,0.0017475348203155312,-0.011234152416314381,0.010485208921893339,-0.04488630969415258,0.9959553132370703,1.0,0.9959531110963734,0.9616217111545121,0.8243528523696263,0.48581510877348205,0.287345260663397,0.11399724553663956,0.04100759656073606,-0.07903186711534782,-0.07837983754127181,-0.08448540577599678,0.48581510877348205,-0.08448540577599678,0.9996727174693749,-0.0914452866354835,0.9975843687171736,0.9975052528518772,0.9936864635862592,-0.06785340397747898,0.9853556555273534,0.9873269236325112,0.9605335279740141,-0.030995055241698335,0.9342944265758136,0.94226653161138,0.8497731328401747,0.024617014286208855,0.787852589883309,0.8250013629884313,0.6203621894827435,0.266499525511058,0.4073143103135206,0.6526186670291431,0.4540477741942418,0.5262815579765118,-0.10268158048147931,0.5575156151405246,0.4762002288772154,-0.09524535592440762,-0.034079353080468944,0.4455259611321858,0.610203983505411,-0.09542832535537786,0.46009469407672055,0.4540477741942418,0.8497731328401747,0.0013239754244143381,0.40546747770613145,0.23884331243058426,0.34848574403666893
lag_3h,0.974968774286766,0.22784304818604173,0.005716131795090599,-0.08982336609546492,-0.22086313161223323,0.30178939332789273,0.0030285189810319623,0.008817793345575442,0.08793413954585722,0.06756549182872985,-0.0023521164549255564,0.002810050631990255,-0.009928845566365736,0.00947091138930059,-0.04304915591157385,0.9867805652200731,0.9959531110963734,1.0,0.975681476813189,0.8518269749694682,0.508965355874202,0.2910511005461954,0.11935285010670424,0.04627263356992424,-0.07600713316560578,-0.07639977324669654,-0.08780120750577576,0.508965355874202,-0.08780120750577576,0.9966045479843574,-0.1019415213804008,0.9954572013351838,0.9940890089669787,0.9980190409126873,-0.07720503957650895,0.9897907247537022,0.9899136529797938,0.9744385634421947,-0.03643586327152115,0.9468279067836314,0.9524414230730788,0.8723007502491004,0.019557589014240737,0.8041016460412214,0.8379471118997346,0.6355126875569429,0.25711684043032534,0.4223961158065248,0.660869491451642,0.4654940992138872,0.5230420902744088,-0.0894914792695222,0.5610479146680346,0.45107882741382327,-0.12481210406472545,-0.10504102203772955,0.41234426871751223,0.6037481372053827,-0.1197282252091241,0.4268701746056015,0.4654940992138872,0.8723007502491004,-0.005866608290586168,0.38987744205734187,0.23326466993935902,0.346611010565552
lag_6h,0.9248404647880344,0.1797762922823487,-0.014878288731124456,-0.07669556614128432,-0.19777747172306273,0.3022432496234147,0.008055812702882302,0.002877417672426062,0.10452401444343752,0.05775123164847216,0.0114764798637936,0.001746420848838218,-0.0024117240293480852,-0.010811176683284166,-0.035433113575833335,0.9446617437780069,0.9616217111545121,0.975681476813189,1.0,0.92509304009864,0.5887216632363931,0.30291318239517145,0.14062551330508014,0.06140937646167939,-0.06332264787248751,-0.07027887763416413,-0.09314097502442199,0.5887216632363931,-0.09314097502442199,0.9629315604662799,-0.14850484478303216,0.9649451864459576,0.9577215453528374,0.9851898286690165,-0.11135793608666074,0.9817923384406331,0.9741501654721246,0.9959899694106346,-0.05670352059752435,0.9678812469523409,0.9653071789338006,0.9302900173297904,0.0033203578374006045,0.8457745542687908,0.8680650021639509,0.6804905071927172,0.23052096708554998,0.4629086454037167,0.6830698709686637,0.5009210992553454,0.5117539534327854,-0.051691854805844026,0.5700167589795706,0.34119738932226945,-0.21422096265163904,-0.2206716337687354,0.28992966822351196,0.5748318947597832,-0.19597763845181243,0.3058032794094577,0.5009210992553454,0.9302900173297904,-0.007037829413971076,0.35562408764230374,0.2206622418205462,0.31930381517982487
lag_12h,0.7665146383542021,0.13721906899279923,0.0002890953619109635,-0.06222632307023145,-0.1606418164528088,0.2970256348837749,0.003553806440859106,-0.007240583347814512,0.13706200388052073,0.02662348685576338,-0.009388740917461327,0.01101251429121249,0.001269874048703053,-0.0028936474224546785,-0.030438796595356865,0.7958298067147648,0.8243528523696263,0.8518269749694682,0.92509304009864,1.0,0.7665676808244805,0.32237489367137945,0.19028637121573863,0.08510240537277902,-0.03246450034486948,-0.06685127235091841,-0.09183054659743703,0.7665676808244805,-0.09183054659743703,0.8259500189870038,-0.15447572167187898,0.8294935893466147,0.8200788576861717,0.8696875652991447,-0.13976951107803817,0.8725808445673785,0.856419699742023,0.9435945777185879,-0.09300559193620835,0.9308675937365858,0.9121383424244043,0.984585220010398,-0.03011068785231902,0.8880146324600572,0.8861003772331317,0.7504796071874669,0.18081733935442354,0.5160442415693641,0.7056817520544628,0.5573274135831164,0.48091527575583365,-0.0007954339057891903,0.5684859896995437,0.015671665502718313,-0.3208639739854736,-0.3758527521013248,-0.026207918761186513,0.4807672861870106,-0.29037673051113844,-0.006599853926465488,0.5573274135831164,0.984585220010398,0.002301797426313966,0.3195589046115322,0.19727816015183028,0.27744113606686865
