timestamp,aqi,pm2_5,pm10,source,location,collected_at,_id
2025-12-10T16:00,89,17.3,17.4,Open-Meteo,Karachi,2026-01-23T08:17:02.075748,69732e7e6c7538a09bee7ade
2025-12-10T17:00,89,14.6,14.8,Open-Meteo,Karachi,2026-01-23T08:17:02.075750,69732e7e6c7538a09bee7adf
2025-12-10T18:00,91,22.8,22.9,Open-Meteo,Karachi,2026-01-23T08:17:02.075753,69732e7e6c7538a09bee7ae0
2025-12-10T19:00,95,29.5,29.7,Open-Meteo,Karachi,2026-01-23T08:17:02.075755,69732e7e6c7538a09bee7ae1
2025-12-10T20:00,89,34.0,34.6,Open-Meteo,Karachi,2026-01-23T08:17:02.075757,69732e7e6c7538a09bee7ae2
2025-12-10T21:00,89,37.5,38.6,Open-Meteo,Karachi,2026-01-23T08:17:02.075760,69732e7e6c7538a09bee7ae3
2025-12-10T22:00,89,39.0,40.4,Open-Meteo,Karachi,2026-01-23T08:17:02.075763,69732e7e6c7538a09bee7ae4
2025-12-10T23:00,89,39.1,40.9,Open-Meteo,Karachi,2026-01-23T08:17:02.075765,69732e7e6c7538a09bee7ae5
2025-12-11T00:00,88,36.6,38.8,Open-Meteo,Karachi,2026-01-23T08:17:02.075768,69732e7e6c7538a09bee7ae6
2025-12-11T01:00,87,31.8,34.2,Open-Meteo,Karachi,2026-01-23T08:17:02.075770,69732e7e6c7538a09bee7ae7
2025-12-11T02:00,86,26.4,29.0,Open-Meteo,Karachi,2026-01-23T08:17:02.075772,69732e7e6c7538a09bee7ae8
2025-12-11T03:00,85,21.9,24.7,Open-Meteo,Karachi,2026-01-23T08:17:02.075775,69732e7e6c7538a09bee7ae9
2025-12-11T04:00,83,18.9,21.8,Open-Meteo,Karachi,2026-01-23T08:17:02.075778,69732e7e6c7538a09bee7aea
2025-12-11T05:00,82,22.4,25.9,Open-Meteo,Karachi,2026-01-23T08:17:02.075780,69732e7e6c7538a09bee7aeb
