Model,Train MAE,Test MAE,Train RMSE,Test RMSE,Train R²,Test R²,Overfitting
Random Forest,8.468902589237041,17.280762527611653,10.648206259767838,21.65119476225777,0.9280916362321998,0.7395951100293401,0.18849652620285973
Ridge,17.937001460788892,18.21761698516668,22.43007686208972,22.692430059162522,0.68092849533805,0.7139464031170354,0.03301790777898539
XGBoost,4.533285699143098,18.210289979365243,5.8488245425493695,22.718890249344355,0.9783047987407533,0.7132789166082589,0.26502588213249434
SVR,17.794672028409884,18.77527165513125,22.664968903167214,23.18852197449489,0.6742107485422415,0.7013025345595719,0.02709178601733042
