Model,Train_R2,Test_R2,Test_MAE,Test_RMSE,Train_Time,Model_Size
LinearSVR,0.33416389193361473,-0.6474825699085061,15.133778610181583,18.00293140821637,N/A,N/A
ElasticNet,0.3844372310337225,-1.7580524974053962,20.790445737659322,23.293463942529243,N/A,N/A
Ridge Regression,0.3939094581512802,-2.1143220990981884,21.89966237419485,24.752243930763875,N/A,N/A
Gradient Boosting,0.9468958835500069,-2.4455382564326267,21.795799254458128,26.035225926301568,N/A,N/A
XGBoost,0.9755508450799084,-3.644949053726484,25.056838845306974,30.22896585425375,N/A,N/A
Random Forest,0.9459772450042814,-3.8106003508974045,25.110664570942372,30.76326679027113,N/A,N/A
LightGBM,0.8937199420321559,-3.8570571640498708,25.318206724837655,30.911453022095035,N/A,N/A
Prophet,0.07440572915319599,,19.429273281536908,22.849988543139695,N/A,N/A
