Model,Train_R2,Test_R2,Test_MAE,Test_RMSE
XGBoost,0.9941632051749352,-4.7805627184924875,25.18717137089482,30.389185569037025
RandomForest,0.9960324732569996,-6.56282076379212,29.892609560631172,34.75969093539897
