Model,Train MAE,Test MAE,Train RMSE,Test RMSE,Train R²,Test R²,Overfitting
SVR,12.539942365952168,16.226832351329925,17.73537315811444,19.527474847524864,0.5429382400026206,-0.9383247851317669,1.4812630251343875
Ridge,14.116141186300155,16.29861177914363,18.027311068031043,20.140500185053188,0.5277672183260845,-1.0619345644964482,1.5897017828225328
XGBoost,21.98449449403591,18.238809081743348,25.509646209965183,20.268867518130566,0.05440950650672527,-1.0883021855415427,1.1427116920482678
Random Forest,1.5373411567812831,20.796722500880644,2.566939275995986,24.759395377073155,0.9904252946821307,-2.1161219459933736,3.1065472406755044
